Vivado Simulator 2019.2
Time resolution is 1 ps
[72012500000 ns] anode=01111 seg=10110000 anode_off=111
[73008500000 ns] anode=11111 seg=10110000 anode_off=111
[73012500000 ns] anode=01111 seg=10110000 anode_off=111
[74008500000 ns] anode=11111 seg=10110000 anode_off=111
[74012500000 ns] anode=01111 seg=10110000 anode_off=111
[74015500000 ns] anode=11111 seg=11111001 anode_off=111
[74016500000 ns] anode=11110 seg=11111001 anode_off=111
[74848500000 ns] anode=11111 seg=10100100 anode_off=111
[74849500000 ns] anode=11101 seg=10100100 anode_off=111
[75008500000 ns] anode=11111 seg=10100100 anode_off=111
[75012500000 ns] anode=11101 seg=10100100 anode_off=111
[75681500000 ns] anode=11111 seg=11111001 anode_off=111
[75682500000 ns] anode=11011 seg=11111001 anode_off=111
[76008500000 ns] anode=11111 seg=11111001 anode_off=111
[76012500000 ns] anode=11011 seg=11111001 anode_off=111
[76514500000 ns] anode=11111 seg=11111001 anode_off=111
[76515500000 ns] anode=10111 seg=11111001 anode_off=111
[77008500000 ns] anode=11111 seg=11111001 anode_off=111
[77012500000 ns] anode=10111 seg=11111001 anode_off=111
[77347500000 ns] anode=11111 seg=11000000 anode_off=111
[77348500000 ns] anode=01111 seg=11000000 anode_off=111
[78008500000 ns] anode=11111 seg=11000000 anode_off=111
[78012500000 ns] anode=01111 seg=11000000 anode_off=111
[79008500000 ns] anode=11111 seg=11000000 anode_off=111
[79012500000 ns] anode=01111 seg=11000000 anode_off=111
[80008500000 ns] anode=11111 seg=11000000 anode_off=111
[80012500000 ns] anode=01111 seg=11000000 anode_off=111
[81008500000 ns] anode=11111 seg=11000000 anode_off=111
[81012500000 ns] anode=01111 seg=11000000 anode_off=111
[82008500000 ns] anode=11111 seg=11000000 anode_off=111
[82012500000 ns] anode=01111 seg=11000000 anode_off=111
[83008500000 ns] anode=11111 seg=11000000 anode_off=111
[83012500000 ns] anode=01111 seg=11000000 anode_off=111
[84008500000 ns] anode=11111 seg=11000000 anode_off=111
[84012500000 ns] anode=01111 seg=11000000 anode_off=111
[85008500000 ns] anode=11111 seg=11000000 anode_off=111
TB finished.
$finish called at time : 85010332 ns : File "C:/Users/datda/Downloads/jit_intern/bcd2led7seg/bcd2led7seg.srcs/sim_1/new/bcd2led7seg_top_tb.v" Line 127
